종목코드,종목명,매출액_2023,매출액_2024,매출액_2025,매출액_2026,매출액_2027,매출액_2028,영업이익_2023,영업이익_2024,영업이익_2025,영업이익_2026,영업이익_2027,영업이익_2028,매출액_성장률_2025,매출액_성장률_2026,매출액_성장률_2027,매출액_성장률_2028,매출액_최대성장률,영업이익_성장률_2025,영업이익_성장률_2026,영업이익_성장률_2027,영업이익_성장률_2028,영업이익_최대성장률,데이터_가용성,가용_연도수,PER,PBR,ROE,평균거래량_20d,OBV_trend,RSI,저항선,지지선,MA_align,MACD_signal,외인_5d,외인_20d,기관_5d,기관_20d,시장,현재가,시가총액,Recent_Volume,거래량배수,업종
10955,S-Oil우,357267.0,366370.0,342470.0,428420.0,,,13546.0,4222.0,2356.0,25042.0,,,-6.52,25.1,,,25.1,-44.2,962.9,,,962.9,2년치 존재,2,8.55,0.9,2.01,20956.0,up,65.8,65700.0,51500.0,up,bull,,,,,KOSPI,61400,2469,30003,1.4,석유와가스
244920,에이플러스에셋,3509.0,5158.0,6825.0,7622.0,,,126.0,316.0,293.0,351.0,,,32.32,11.68,,,32.32,-7.28,19.8,,,19.8,2년치 존재,2,9.61,0.65,13.82,90582.0,down,45.7,14780.0,10400.0,mixed,bull,,,,,KOSPI,10800,2442,72209,0.8,손해보험
487570,HS효성,,,,,,,,,,,,,,,,,,,,,,,0년치 존재,0,25.28,0.2,3.68,17243.0,up,73.1,67800.0,52800.0,mixed,bull,,,,,KOSPI,65500,2440,7,0.0,복합기업
10580,에스엠벡셀,2027.0,1725.0,1503.0,,,,95.0,52.0,16.0,,,,-12.87,,,,-12.87,-69.23,,,,-69.23,1년치 존재,1,294.89,3.04,2.4,216346.0,up,60.7,2290.0,1832.0,mixed,bull,,,,,KOSPI,2180,2425,377000,1.7,자동차부품
28100,동아지질,3450.0,3935.0,4677.0,,,,77.0,96.0,181.0,,,,18.86,,,,18.86,88.54,,,,88.54,1년치 존재,1,17.77,0.77,8.22,35595.0,up,52.1,18580.0,15470.0,up,bull,,,,,KOSPI,18000,2410,29024,0.8,건설
16880,웅진,10186.0,10081.0,11507.0,,,,224.0,311.0,781.0,,,,14.15,,,,14.15,151.13,,,,151.13,1년치 존재,1,,1.51,96.89,855252.0,up,63.9,3040.0,1860.0,up,bear,,,,,KOSPI,3015,2410,4959683,5.8,출판
480,CR홀딩스,8169.0,8108.0,8278.0,,,,394.0,174.0,278.0,,,,2.1,,,,2.1,59.77,,,,59.77,1년치 존재,1,587.2,0.45,-4.69,19296.0,down,65.8,5120.0,4675.0,up,bull,,,,,KOSPI,5120,2401,15119,0.8,비철금속
95570,AJ네트웍스,9365.0,9646.0,10701.0,11887.0,,,785.0,763.0,715.0,744.0,,,10.94,11.08,,,11.08,-6.29,4.06,,,4.06,2년치 존재,2,13.95,0.53,6.31,203490.0,up,58.4,5460.0,4710.0,mixed,bull,,,,,KOSPI,5300,2398,253695,1.2,도로와철도운송
2150,도화엔지니어링,5750.0,5828.0,6985.0,,,,219.0,-134.0,301.0,,,,19.85,,,,19.85,324.63,,,,324.63,1년치 존재,1,12.89,0.97,2.88,241231.0,up,58.6,7380.0,5930.0,up,bear,,,,,KOSPI,7120,2401,156944,0.7,건설
3220,대원제약,5270.0,5982.0,6054.0,6405.0,,,322.0,282.0,35.0,230.0,,,1.2,5.8,,,5.8,-87.59,557.14,,,557.14,2년치 존재,2,14.4,1.25,-0.51,29561.0,down,52.4,11940.0,10030.0,mixed,bull,,,,,KOSPI,10720,2404,15678,0.5,제약
298690,에어부산,8904.0,10068.0,8326.0,,,,1598.0,1463.0,-45.0,,,,-17.3,,,,-17.3,-103.08,,,,-103.08,1년치 존재,1,3.43,1.91,-14.71,332086.0,up,55.6,2195.0,1672.0,up,bear,,,,,KOSPI,2050,2391,125242,0.4,항공사
51905,LG생활건강우,68048.0,68119.0,63555.0,63681.0,,,4870.0,4590.0,1707.0,2781.0,,,-6.7,0.2,,,0.2,-62.81,62.92,,,62.92,2년치 존재,2,44.06,1.09,-1.82,7757.0,up,62.4,120100.0,104200.0,mixed,bull,,,,,KOSPI,114200,2398,9771,1.3,화장품
1630,종근당홀딩스,8798.0,9578.0,9590.0,,,,170.0,355.0,583.0,,,,0.13,,,,0.13,64.23,,,,64.23,1년치 존재,1,6.31,0.5,6.6,5471.0,up,50.8,53700.0,46700.0,mixed,bull,,,,,KOSPI,49300,2470,2934,0.5,제약
25000,KPX케미칼,9111.0,8686.0,8084.0,,,,584.0,389.0,274.0,,,,-6.93,,,,-6.93,-29.56,,,,-29.56,1년치 존재,1,3.06,0.32,7.51,4811.0,up,71.4,56300.0,47700.0,up,bull,,,,,KOSPI,54200,2373,8638,1.8,화학
53210,스카이라이프,10256.0,10229.0,9842.0,9939.0,,,141.0,-11.0,230.0,338.0,,,-3.78,0.99,,,0.99,2190.91,46.96,,,2190.91,2년치 존재,2,,0.4,1.27,57632.0,down,50.9,5240.0,4565.0,mixed,bull,,,,,KOSPI,4925,2340,21442,0.4,방송과엔터테인먼트
3610,방림,1319.0,1106.0,1225.0,,,,-41.0,-33.0,11.0,,,,10.76,,,,10.76,133.33,,,,133.33,1년치 존재,1,,0.4,2.5,127970.0,down,60.6,6190.0,4945.0,mixed,bull,,,,,KOSPI,5720,2300,102410,0.8,"섬유,의류,신발,호화품"
3350,한국화장품제조,1093.0,1675.0,1846.0,,,,90.0,265.0,329.0,,,,10.21,,,,10.21,24.15,,,,24.15,1년치 존재,1,14.56,1.61,30.6,157216.0,up,20.1,54300.0,9200.0,,bear,,,,,KOSPI,10100,2289,269,0.0,화장품
8490,서흥,5946.0,6533.0,7223.0,,,,430.0,338.0,502.0,,,,10.56,,,,10.56,48.52,,,,48.52,1년치 존재,1,54.26,0.75,9.22,42542.0,up,58.0,24400.0,17820.0,mixed,bull,,,,,KOSPI,20050,2320,11754,0.3,제약
9680,모토닉,2443.0,2906.0,2797.0,,,,152.0,238.0,185.0,,,,-3.75,,,,-3.75,-22.27,,,,-22.27,1년치 존재,1,9.93,0.4,5.68,23187.0,up,54.1,11450.0,9970.0,up,bull,,,,,KOSPI,11020,2395,53587,2.3,자동차부품
102260,동성케미컬,9930.0,10663.0,12116.0,,,,741.0,910.0,1120.0,,,,13.63,,,,13.63,23.08,,,,23.08,1년치 존재,1,6.69,0.55,7.39,238272.0,down,54.5,4635.0,3940.0,up,bull,,,,,KOSPI,4400,2229,200666,0.8,화학
339770,교촌에프앤비,4450.0,4808.0,5174.0,5516.0,,,248.0,154.0,350.0,446.0,,,7.61,6.61,,,7.61,127.27,27.43,,,127.27,2년치 존재,2,12.95,0.99,9.56,74708.0,up,63.3,4995.0,4060.0,mixed,bull,,,,,KOSPI,4485,2241,77638,1.0,식품
210980,SK디앤디,3851.0,8709.0,4458.0,,,,1776.0,537.0,378.0,,,,-48.81,,,,-48.81,-29.61,,,,-29.61,1년치 존재,1,3.92,0.53,1.24,22799.0,down,45.9,13540.0,12160.0,down,bear,,,,,KOSPI,12820,2387,30611,1.3,부동산
7860,서연,40207.0,44988.0,49161.0,,,,2569.0,2419.0,1996.0,,,,9.28,,,,9.28,-17.49,,,,-17.49,1년치 존재,1,1.8,0.29,6.59,68356.0,down,48.2,11400.0,8950.0,mixed,bull,,,,,KOSPI,9460,2221,70622,1.0,자동차부품
18470,조일알미늄,4658.0,4984.0,4867.0,,,,85.0,201.0,138.0,,,,-2.35,,,,-2.35,-31.34,,,,-31.34,1년치 존재,1,,1.38,3.9,34778289.0,up,55.2,1951.0,1095.0,up,bear_cross,,,,,KOSPI,1749,2215,5441849,0.2,비철금속
